action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,34152,[],CHEMBL766267,Inhibition of bovine heart phosphodiesterase,B,,,BAO_0000190,BAO_0000224,protein format,CNc1nc(Br)cn2cc(C#N)nc12,,,CHEMBL1126116,J Med Chem,1992,"{'bei': '16.48', 'le': '0.41', 'lle': '2.74', 'sei': '6.29'}",CHEMBL112904,,CHEMBL112904,4.16,0,http://www.openphacts.org/units/Nanomolar,213846,=,1,1,=,,IC50,nM,,70000.0,CHEMBL2111408,Bos taurus,Heart phosphodiesterase,9913,,,IC50,uM,UO_0000065,,70.0
,,44853,[],CHEMBL764359,Inhibition of bovine heart phosphodiesterase,B,,,BAO_0000190,BAO_0000224,protein format,CCNc1nc(Br)cn2ccnc12,,,CHEMBL1126116,J Med Chem,1992,"{'bei': '16.97', 'le': '0.43', 'lle': '2.17', 'sei': '9.69'}",CHEMBL116115,,CHEMBL116115,4.09,0,http://www.openphacts.org/units/Nanomolar,213866,=,1,1,=,,IC50,nM,,81000.0,CHEMBL2111408,Bos taurus,Heart phosphodiesterase,9913,,,IC50,uM,UO_0000065,,81.0
,,47349,[],CHEMBL764359,Inhibition of bovine heart phosphodiesterase,B,,,BAO_0000190,BAO_0000224,protein format,CNc1nccn2c(Br)cnc12,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1126116,J Med Chem,1992,,CHEMBL430685,,CHEMBL430685,,0,http://www.openphacts.org/units/Nanomolar,213859,=,1,1,=,,IC50,nM,,337000.0,CHEMBL2111408,Bos taurus,Heart phosphodiesterase,9913,,,IC50,uM,UO_0000065,,337.0
,,52605,[],CHEMBL766267,Inhibition of bovine heart phosphodiesterase,B,,,BAO_0000190,BAO_0000224,protein format,Cn1c(=O)c2[nH]cnc2n(C)c1=O,,,CHEMBL1126116,J Med Chem,1992,"{'bei': '22.40', 'le': '0.42', 'lle': '5.08', 'sei': '5.55'}",CHEMBL190,THEOPHYLLINE,CHEMBL190,4.04,0,http://www.openphacts.org/units/Nanomolar,213849,=,1,1,=,,IC50,nM,,92000.0,CHEMBL2111408,Bos taurus,Heart phosphodiesterase,9913,,,IC50,uM,UO_0000065,,92.0
,,56209,[],CHEMBL764359,Inhibition of bovine heart phosphodiesterase,B,,,BAO_0000190,BAO_0000224,protein format,Nc1nc(Br)cn2ccnc12,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1126116,J Med Chem,1992,,CHEMBL111902,,CHEMBL111902,,0,http://www.openphacts.org/units/Nanomolar,213864,=,1,1,=,,IC50,nM,,267000.0,CHEMBL2111408,Bos taurus,Heart phosphodiesterase,9913,,,IC50,uM,UO_0000065,,267.0
,,70543,[],CHEMBL764359,Inhibition of bovine heart phosphodiesterase,B,,,BAO_0000190,BAO_0000224,protein format,CNc1nc(Br)cn2ccnc12,,,CHEMBL1126116,J Med Chem,1992,"{'bei': '20.12', 'le': '0.52', 'lle': '3.04', 'sei': '10.82'}",CHEMBL114797,,CHEMBL114797,4.57,0,http://www.openphacts.org/units/Nanomolar,213867,=,1,1,=,,IC50,nM,,27000.0,CHEMBL2111408,Bos taurus,Heart phosphodiesterase,9913,,,IC50,uM,UO_0000065,,27.0
,,308336,[],CHEMBL764354,Inhibition of cAMP phosphodiesterase in bovine heart,B,,,BAO_0000190,BAO_0000224,protein format,CC(C)CN1C(=O)CC(=O)[n+]2c1sc1ccccc12,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1121649,J Med Chem,1981,,CHEMBL350395,,CHEMBL350395,,0,http://www.openphacts.org/units/Nanomolar,323880,=,1,1,=,,IC50,nM,,249000.0,CHEMBL2111408,Bos taurus,Heart phosphodiesterase,9913,,,I50,uM,UO_0000065,,249.0
,,308338,[],CHEMBL764354,Inhibition of cAMP phosphodiesterase in bovine heart,B,,,BAO_0000190,BAO_0000224,protein format,CCN1C(=O)C(C)C(=O)[n+]2c1sc1ccccc12,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1121649,J Med Chem,1981,,CHEMBL350738,,CHEMBL350738,,0,http://www.openphacts.org/units/Nanomolar,323871,=,1,1,=,,IC50,nM,,271000.0,CHEMBL2111408,Bos taurus,Heart phosphodiesterase,9913,,,I50,uM,UO_0000065,,271.0
,,309795,[],CHEMBL764354,Inhibition of cAMP phosphodiesterase in bovine heart,B,,,BAO_0000190,BAO_0000224,protein format,O=C1CC(=O)[n+]2c(sc3ccccc32)N1CC1CC1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1121649,J Med Chem,1981,,CHEMBL353350,,CHEMBL353350,,0,http://www.openphacts.org/units/Nanomolar,323878,=,1,1,=,,IC50,nM,,227000.0,CHEMBL2111408,Bos taurus,Heart phosphodiesterase,9913,,,I50,uM,UO_0000065,,227.0
,,310998,[],CHEMBL764354,Inhibition of cAMP phosphodiesterase in bovine heart,B,,,BAO_0000190,BAO_0000224,protein format,CC(C)CN1C(=O)C(C)C(=O)[n+]2c1sc1ccccc12,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1121649,J Med Chem,1981,,CHEMBL166331,,CHEMBL166331,,0,http://www.openphacts.org/units/Nanomolar,323882,=,1,1,=,,IC50,nM,,289000.0,CHEMBL2111408,Bos taurus,Heart phosphodiesterase,9913,,,I50,uM,UO_0000065,,289.0
